_key,EntityWithIntent,Entity,Action,PrefixPhrase,ActionCategory,QtyRequired,SubCategory,Cost,NeedBooking,ResponseMsgOrig,Intent
Skirt Hanger,skirt Hanger,skirt Hanger,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,skirt Hanger
Slippers,Slippers,Slippers,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Slippers
Soap,Soap,Soap,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Soap
Suit bag,Suit bag,Suit bag,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Suit bag
Suit Hangers,Suit Hangers,Suit Hangers,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,Suit Hangers
Table spoon,Table spoon,Table spoon,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,Table spoon
Tampons,Tampons,Tampons,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Tampons
Tea bags,Tea bags ,Tea bags ,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Consumable,,,,Tea bags
tea spoon,tea spoon,tea spoon,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,tea spoon
Tie Hangers,Tie Hangers,Tie Hangers,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Returnable,,,,Tie Hangers
Tissues,Tissues,Tissues,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Tissues
Toilet paper,Toilet paper,Toilet paper,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,Toilet paper
Tooth Brush,Tooth Brush,Tooth Brush,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,,Consumable,,,,
Towel,Towel,Towel,Request,Please,Need Supply Qty,Yes,Returnable,,,,get me a towel
Umbrella,Umbrella,Umbrella,Request,Can you / Please,Need Supply Qty,,Returnable,,,,get me an Umbrella?
White Wine Glass,White Wine Glass,White Wine Glass,Request,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply Qty,Yes,Returnable,,,,White Wine Glass
bath Towel,Towel bath,bath Towel,Request,Please,Need Supply Qty,Yes,Returnable,,,,get me a bathroom towel
face Towel,Towel face,face Towel,Request,Can you / Please,Need Supply Qty,Yes,Returnable,,,,get me a face towel 
hand Towel,Towel hand ,hand Towel,Request,Can you / Please,Need Supply Qty,Yes,Returnable,,,,get me a hand towel 
