_key,EntityWithIntent,Entity,Action,PrefixPhrase,ActionCategory,QtyRequired,SubCategory,Cost,NeedBooking,ResponseMsgOrig,Intent
Chest Pain,Doctor,Doctor,Book,,Need Service,,Clinic,,,We have called emergency services for you,I need doctor's appointment / want to check up with a doctor
Coffee machine not working,Coffee machine not working,Coffee machine,Service,Plese check / send someone,Need Service,,Room Facility,,,,my coffee machine is not working
Comforter,Comforter,Comforter,Service,Can you / Please,Need Service,,Room Facility,,,,change the Bed Linen ?
Dentist,Dentist,Dentist,Book,,Need Service,,Clinic,Charge,,We will have a dentist call you soon,I need doctor's appointment / want to check up with a doctor
Desk damaged,Furniture desk damaged,Desk,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with desk in my room
Dinner order,Dinner order,Dinner ,Order,Can you / Please,Need Service,,Room Service,,,Someone will call you to take your dinner order,send someone for my dinner order
Doctor,Doctor,Doctor,Book,,Need Service,,Clinic,Charge,,We will have a doctor call you soon,I need doctor's appointment / want to check up with a doctor
Doctor appointment,Doctor appointment,Doctor,Book,,Need Service,,Clinic,,,,I need doctor's appointment / want to check up with a doctor
Doctor schedule,Doctor schedule,Doctor,Book,,Need Service,,Clinic,,,,I need doctor's appointment / want to check up with a doctor
Door not closing,Door not closing,Door,Service,Please check / send someone,Need Service,,Room Service,,,,doors not closing
Door not opening,Door not opening,Door,Service,Please check / send someone,Need Service,,Room Service,,,,doors not opening
Drain not working,Drain not working,Drain,Service,Please check / send someone,Need Service,,Room Service,,,,drain seem to be blocked / water in washroom
Drainage bathtub not working,Drainage bathtub not working,Drainage bathtub,Service,Please check / send someone,Need Service,,Room Service,,,,water drainage problem in bathtub
Drainage bidet not working,Drainage bidet not working,Drainage bidet,Service,Please check / send someone,Need Service,,Room Service,,,,water drainage problem in bidet
Drainage shower not working,Drainage shower not working,Drainage shower,Service,Please check / send someone,Need Service,,Room Service,,,,problem in shower
Drawer not closing,Drawer not closing,Drawer,Service,Please check / send someone,Need Service,,Room Service,,,,table drawer not opening
Drawer not opening,Drawer not opening,Drawer,Service,Please check / send someone,Need Service,,Room Service,,,,table drawer not closing
Dry cleaner not working,Dry cleaner not working,Dry cleaner,Service,Please check / send someone,Need Service,,Room Service,,,,dry cleaner not working
Duvet Cover,Duvet Cover,Duvet Cover,Service,Can you / Please,Need Service,,Room Facility,,,,change the Bed Linen ?
DVD player rental,DVD/CD player rental,DVD player rental,Book,{Can I get } / {Please send} / {Please get me} / {I need},Need Supply,,Returnable,,,,CD / DVD player on rental
Elevato not working,Elevator is not stopping in my floor,Elevator,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator is not stopping in my floor
Elevator,bumby ride at Elevator,Elevator,Service,Please check,Need Service,,Hotel Facilities,,,,bumby ride at Elevator
Elevator doors not closing,Elevator doors not closing,Elevator doors,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator doors not closing
Elevator doors not opening,Elevator doors not opening,Elevator doors,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator doors not opening
Elevator doors too fast,Elevator doors too fast,Elevator doors,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator doors too fast
Elevator doors too slow,Elevator doors too slow,Elevator doors,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator doors too slow
Elevator not stopping,Elevator not stopping properly,Elevator,Service,Please check,Need Service,,Hotel Facilities,,,,Elevator not stopping properly
Extra bed removal,Extra bed removal,Extra bed,Remove,Can you / Please,Need Service,,Room Facility,,,,Remove the extra bed from my room
Fan not working,Fans not working,Fan,Service,Plese check / send someone,Need Service,,Room Facility,,,,fan not working at room
Feeling Cold,Feeling Cold,AC,Service,,Need Service,,Room Facility,,,We will have someone come to check your AC,AC Not working
Feeling Hot,Feeling Hot,AC,Service,,Need Service,,Room Facility,,,We will have someone come to check your AC,AC Not cooling 
Feeling Humid,Feeling Humid,AC,Service,,Need Service,,Room Facility,,,We will have someone come to check your AC,AC Not cooling 
Feeling Sick,Doctor,Doctor,Book,,Need Service,,Clinic,Charge,,We will have a doctor call you soon,I need doctor's appointment / want to check up with a doctor
Flight book,Flight book,Flight,Book,,Need Service,,Travel Agency,,Booking,Our concierge will call you to help with flight bookings,Need information on Flight booking service
Flight book confirm,Flight book confirm,Flight,Confirm,,Need Service,,Travel Agency,,Booking,Our concierge will call you to confirm your flight,Need information on Flight booking service
Flush WC not working,Flush WC not working,Flush WC,Service,Please check / send someone,Need Service,,Room Facility,,,,Commode Flush not working
Foul smell,Foul smell,Room,Service,,Need Service,,Room Facility,,,,AC not cooling 
Headache,Doctor,Doctor,Book,,Need Service,,Clinic,Charge,,We will have a doctor call you soon,I need doctor's appointment / want to check up with a doctor
Heart Attack,Doctor,Doctor,Book,,Need Service,,Clinic,,,We have called emergency services for you,I need doctor's appointment / want to check up with a doctor
Ice Machine damaged,Ice machine damaged,Ice Machine,Service,Please check / send someone,Need Service,,Hotel Facilities,,,,Ice machine damaged
Ice Machine not working,Ice Machine not working,Ice Machine,Service,Please check / send someone,Need Service,,Hotel Facilities,,,,Ice Machine not working
Illness assistance,Illness assistance,Doctor,Book,,Need Service,,Clinic,Charge,Booking,We will have a doctor call you soon,Can I see a doctor?
Internet connection assistance,Internet connection assistance,Internet connection,Service,Please check / send someone,Need Service,,IT Services,,,,Problem with internet connection in my room
iPod docking station not working,iPod docking station not working,iPod docking station,Service,Please check / send someone,Need Service,,Room Facility,,,,iPod docking station not working
IRD menu,IRD menu,IRD menu,Deliver,{Can I get } / {Please send} / {Please get me} / {I need},Need Service,,Room Facility,,,,room service menu
Iron not working,Iron not working,Iron,Service,Please check / send someone,Need Service,,Room Facility,,,,Iron not working
Kettle cleaning,Kettle cleaning,Kettle,Service,,Need Service,,Room Facility,,,,Can you get the Kettle cleaned?
Kettle not working,Kettle not working,Kettl,Service,Please check / send someone,Need Service,,Room Facility,,,,Kettle not working
Keyboard,Keyboard,Keyboard,Service,,Need Service,,Room Facility,,,,Need a spare computer or laptop keyboard
Lamp shade,Lamp shade dresser change,Lamp shade,Service,Can you / Please,Need Service,,Room Facility,,,,Change the dresser lamp shade?
Lamp shade dresser change,Lamp shade dresser change,Lamp shade dresser,Service,Can you / Please,Need Service,,Room Facility,,,,Change the dresser lamp shade?
Lamp shade dresser cleaning,Lamp shade dresser cleaning,Lamp shade dresser,Service,Can you / Please,Need Service,,Room Facility,,,,Clean the dresser lamp shade
Lamp shade side table change,Lamp shade side table change,Lamp shade side table,Service,Can you / Please,Need Service,,Room Facility,,,,Change the side table lamp shade?
Lamp shade side table cleaning,Lamp shade side table cleaning,Lamp shade side table,Service,Can you / Please,Need Service,,Room Facility,,,,Clean the side table lamp shade 
Lamp shade standing change,Lamp shade standing change,Lamp shade standing,Service,Can you / Please,Need Service,,Room Facility,,,,Change the standing lamp shade?
Lamp shade standing cleaning,Lamp shade standing cleaning,Lamp shade standing,Service,Can you / Please,Need Service,,Room Facility,,,,Clean the standing table lamp shade 
Lamp shade wall change,Lamp shade wall change,Lamp shade wall,Service,Can you / Please,Need Service,,Room Facility,,,,Change the wall lamp shade?
Lamps damaged,Furniture lamps damaged,Lamp,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with lamps in my room
Language assistance,Language assistance,Interpreter,Book,Please ,Need Service,,Language Service,Charge,Booking,Let me check on their availability and will get back,Send an interpreter
Laptop rental,Laptop rental,Laptop rental,Book,,Need Service,,IT Services,Charge,Booking,,Can I get a laptop on rental?
Laptop repair,Laptop repair,Laptop repair,Book,Please,Need Service,,IT Services,Charge,Booking,We will send a technician shortly,Send some body to check a problem in my laptop
Laundry delivery,Laundry delivery,Laundry,Deliver,Check the status of my Laundry / when do I get my laundry back / get my laundry,Need Service,,Concierge,,Booking,Concierge will call you to schedule delivery of your laundry,laundry status
Laundry pick-up,Laundry pick-up,Laundry,Book,Please check / send someone,Need Service,,Concierge,Charge,Booking,Someone will come to your room shortly to pick up your laundry,to pick up my laundry
Light bathroom not working,Light bathroom not working,Light bathroom,Service,Please check / send someone,Need Service,,Room Facility,,,,bathroom light not working
Light bedroom not working,Light bedroom not working,Light bedroom,Service,Please check / send someone,Need Service,,Room Facility,,,,room light not working
Light not working,Light not working,Light,Service,Please check / send someone,Need Service,,Room Facility,,,,bathroom light not working
Locker,Locker,Locker,Service,,Need Service,,Room Facility,,,,Can I get a safety locker?
Luggage delivery,Luggage delivery,Luggage,Deliver,Can you / Please,Need Service,,Concierge,,,We will deliver your bags shortly,deliver my luggage at room
Luggage packing,Luggage packing,Luggage packing,Service,Please,Need Service,,Concierge,,,We will send someone right away,Send someone to pack my luggage 
Luggage pick-up,Luggage pick-up,Luggage pick-up,Service,Can you / Please,Need Service,,Concierge,,,Someone will come shortly to pick up your bags,Pick up luggae from room
Luggage repair,Luggage repair services,Luggage repair services,Service,Can you ,Need Service,,Outside Service,Charge,Booking,Our concierge will contact you to help you with luggage repair,Help me with luggae repair ? / do you have luggae repair services?
Luggage storage - long term,Luggage storage - long term,Luggage storage - long term,Book,,Need Service,,Concierge,,,"Yes, we can store your bags for an extended period. Please bring them to the concierge desk.or we can send someone over",Can I store luggage over a long period?
Luggage storage - short term,Luggage storage - short term,Luggage storage - short term,Book,,Need Service,,Concierge,,,"Yes, we can store your bags. Please bring them to the concierge desk or we can send someone over",Can you store my luggage on a short term?
Luggage unpacking,Luggage unpacking,Luggage unpacking,Service,Please,Need Service,,Concierge,,,We will send someone shortly to help you,send someone to unpack my luggage 
Lunch order,Lunch order,Lunch,Order,Please,Need Service,,Room Service,,,Someone will call you to take your lunch order,send somebody to take my lunch order
Mattress change,Mattress change,Mattress,Service,,Need Service,,Room Facility,,,,Please change my mattress
Meeting Room book,Meeting Room book / confirm,Meeting Room,Book,,Need Service,,Hotel Facilities,,Booking,,How can I book a meeting room?
Meeting Room confirm,Meeting Room book / confirm,Meeting Room,Confirm,,Need Service,,Hotel Facilities,,,,How can I book a meeting room?
Minibar - Alcohol removal,Minibar - Alcohol removal,Minibar - Alcohol,Remove,,Need Service,,Room Facility,,,,Can you remove alcohols / hard drinks from my mini bar
Minibar - Full removal,Minibar - Full removal,Full Minibar,Remove,,Need Service,,Room Facility,,,,Can you remove everything from mini bar
Minibar - Replenishment,Minibar - Replenishment,Minibar,Replenish,Can you / Please,Need Service,,Room Facility,,,,replinesh the minibar
Noise in Elevator,Noise in Elevator,Noise in Elevator,Service,Please check,Need Service,,Hotel Facilities,,,,Noise in Elevator
not cold enough,It is not cold enough,AC,Service,,Need Service,,Room Facility,,,We will have someone come to check your AC,AC Not cooling 
Not feeling well,Doctor,Doctor,Book,,Need Service,,Clinic,Charge,,We will have a doctor call you soon,I need doctor's appointment / want to check up with a doctor
personal assistant,A personal assistant,PersonalAassistant,Book,{Can I get } / {Please get me} / {I need},Need Service,,Outside Service,Charge,Booking,,A personal assistant
Pillow case change,Pillow case change,Pillow case,Service,Can you / Please ,Need Service,,Room Facility,,,,change pillow case in my room
Pillow change,Pillow change,Pillow,Service,Can you / Please ,Need Service,,Room Facility,,,,change pillow in my room
Pillow protector change,Pillow protector change,Pillow protector,Service,Can you / Please ,Need Service,,Room Facility,,,,change pillow cover
Press not working,Press not working,Press,Service,Please check / send someone,Need Service,,Room Facility,,,,Iron not working
Rent a car,Car Rental,Car Rental,Book,Want to Book a Car / send me details,Need Service,,Outside Service,Charge,Booking,We will have someone from car rental company call you,Car Rental
Restaurant book,Restaurant book,Restaurant,Book,,Need Service,,Hotel Facilities,,Booking,,How can I do restaurant reservation?
Restaurant confirm,Restaurant confirm,Restaurant,Confirm,,Need Service,,Hotel Facilities,,,,How can I do restaurant reservation?
Restaurant menu,Restaurants menu,Restaurant menu,Deliver,Can you,Need Service,,Room Service,,,,send me restaurant menu cards?
Room Service,Dinner order,InRoom Dining ,Order,Can you / Please,Need Service,,Room Service,,,Someone will call you to take your room service order,send someone for my dinner order
Room Temperature check,Temperature check,AC,Service,Can you / Please,Need Service,,Room Facility,,,,check the room temperature
Shoe repair,Shoe repair,Shoe repair,Book,Can I get,Need Service,,Outside Service,Charge,Booking,Our concierge will contact you to help you with shoe repair,Can I get my shoes repaired?
Shoe shine,Shoe shine,Shoe shine,Book,,Need Service,,Outside Service,Charge,Booking,Our concierge will contact you to help you with shoe cleaning,Want to get my shoes polished / shoe shined?
Shower damaged,Handheld shower damaged,Handheld showe,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with hand held shower
shower Drainage  not working,Drainage shower not working,shower Drainage,Service,Please check / send someone,Need Service,,Room Service,,,,problem in shower
Shower dripping,Handheld shower dripping,Handheld showe,Service,Please check / send someone,Need Service,,Room Facility,,,,hand held shower water leakage
Shower head damaged,Shower head damaged,Shower head,Service,Please check / send someone,Need Service,,Room Facility,,,,Bathroom showers not working
Shower loose,Handheld shower loose,Handheld shower,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with hand held shower
Sofa-bed set-up,Sofa-bed set-up,Sofa-bed,Service,,Need Service,,Room Facility,,,,Can you send somebody to set up sofa in my room?
Spark plugs not working,Spark plugs not working,Spark plugs,Service,Please check / send someone,Need Service,,Room Facility,,,,Spark plugs not working
Stomache,Doctor,Doctor,Book,,Need Service,,Clinic,,,We will have a doctor call you soon,I need doctor's appointment / want to check up with a doctor
Table damaged,Furniture table damaged,Furniture table,Service,Please check / send someone,Need Service,,Room Facility,,,,problem with table in my room
Tap bathtub dripping,Tap bathtub dripping,Tap bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Bathtub tap ; water dripping
Tap bathtub loose,Tap bathtub loose,Tap bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Bathtub tap ; fitings loose
Tap bidet dripping,Tap bidet dripping,Tap bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Bidet; water dripping
Tap bidet loose,Tap bidet loose,Tap bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Bidet ; fitings loose
Tap knob bathtub damaged,Tap knob bathtub damaged,Tap knob bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with bathtub Tap knob
Tap knob bidet,Tap knob bidet,Tap knob bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Bidet tap
Tap knob shower,Tap knob shower,Tap knob shower,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Shower tap knob
Tap strainer bathtub,Tap strainer bathtub,Tap strainer bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with bathtub Tap strainer
Tap strainer bidet,Tap strainer bidet,Tap strainer bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with bidet Tap strainer
Tap strainer sink,Tap strainer sink,Tap strainer sink,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with Sink Tap strainer
Telephone repair,Telephone repair,Telephone,Service,Please check / send someone,Need Service,,Hotel Facilities,,,,Problem with Telephone set
Temperature check,Temperature check,AC,Service,Can you / Please,Need Service,,Room Facility,,,,check the room temperature
Toothache,Toothache,Dentist,Book,,Need Service,,Clinic,Charge,,We will have a dentist call you soon,I need doctor's appointment / want to check up with a doctor
TV,TV,TV,Service,Please check / send someone,Need Service,,Room Facility,,,,TV not working
TV channel change,TV channel change,TV channe,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem wih TV channel change
TV channels no signal,TV channels no signal,TV channels,Service,Please check / send someone,Need Service,,Room Facility,,,,No Signal in TV
TV channels not available,TV channels not available,TV channels,Service,Please check / send someone,Need Service,,Room Facility,,,,No channel coming in TV
TV remote,TV remote,TV remote,Service,Please check / send someone,Need Service,,Room Facility,,,,TV remote is missing / Cannot find the TV remote
TV remote not working,TV remote not working,TV remote,Service,Please check / send someone,Need Service,,Room Facility,,,,TV remote not working
Unit bathtub cracked,Unit bathtub cracked,Unit bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,bathtub cracked
Unit bidet cracked,Unit bidet cracked,Unit bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,(bidet) cracked
Unit shower cracked,Unit shower cracked,Unit showe,Service,Please check / send someone,Need Service,,Room Facility,,,,shower) cracked
Unit sink cracked,Unit sink cracked,Unit sink,Service,Please check / send someone,Need Service,,Room Facility,,,,(sink) cracked
Unit WC cracked,Unit WC cracked,Unit WC,Service,Please check / send someone,Need Service,,Room Facility,,,,commode cracked
Wall Lamp shade,Wall Lamp shade,Wall Lamp shade,Service,Can you / Please,Need Service,,Room Facility,,,,Clean the wall lamp shade 
Water check,Water check,Water,Service,Please check / send someone,Need Service,,Room Facility,,,,No water
Water leakage,Water leakage,Water leakage,Service,Please check / send someone,Need Service,,Room Facility,,,,Water is leaking
Water overflow,Water overflow,Water overflow,Service,Please check / send someone,Need Service,,Room Facility,,,,Water is overflowing
Water pressure bathtub too high,Water pressure bathtub too high,Water pressure bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (bathtub) too high
Water pressure bathtub too low,Water pressure bathtub too low,Water pressure bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (bathtub) too low
Water pressure bidet too high,Water pressure bidet too high,Water pressure bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (bidet) too high
Water pressure bidet too low,Water pressure bidet too low,Water pressure bide,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (bidet) too low
Water pressure shower too high,Water pressure shower too high,Water pressure shower,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (shower) too high
Water pressure shower too low,Water pressure shower too low,Water pressure shower,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (shower) too low
Water pressure sink too high,Water pressure sink too high,Water pressure sink,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (sink) too high
Water pressure sink too low,Water pressure sink too low,Water pressure sink,Service,Please check / send someone,Need Service,,Room Facility,,,,Water pressure (sink) too low
Water temperature,Water temperature,Water temperature,Service,Please check / send someone,Need Service,,Room Facility,,,,Problem with water temperature at bathroom
Water temperature bathtub too high,Water temperature bathtub too high,Water temperature bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (bathtub) too high
Water temperature bathtub too low,Water temperature bathtub too low,Water temperature bathtub,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (bathtub) too low
Water temperature bidet too high,Water temperature bidet too high,Water temperature bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (bidet) too high
Water temperature bidet too low,Water temperature bidet too low,Water temperature bidet,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (bidet) too low
Water temperature shower too high,Water temperature shower too high,Water temperature showe,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (shower) too high
Water temperature shower too low,Water temperature shower too low,Water temperature showe,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (shower) too low
Water temperature sink too high,Water temperature sink too high,Water temperature sink,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (sink) too high
Water temperature sink too low,Water temperature sink too low,Water temperature sink,Service,Please check / send someone,Need Service,,Room Facility,,,,Water temperature (sink) too low
Window not closing,Window not closing,Window,Service,Please check / send someone,Need Service,,Room Facility,,,,Window not closing
Window not opening,Window not opening,Window,Service,Please check / send someone,Need Service,,Room Facility,,,,Window not opening
